date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2020/6/9,83.035004,86.402496,83.002502,85.997498,147712400,85.694878
2020/6/8,82.5625,83.400002,81.830002,83.364998,95654400,83.07164
2020/6/5,80.837502,82.9375,80.807503,82.875,137250400,82.583374
2020/6/4,81.097504,81.404999,80.195,80.580002,87560400,80.296448
2020/6/3,81.165001,81.550003,80.574997,81.279999,104491200,80.99398
2020/6/2,80.1875,80.860001,79.732498,80.834999,87642800,80.550545
2020/6/1,79.4375,80.587502,79.302498,80.462502,80791200,80.179359
2020/5/29,79.8125,80.287498,79.1175,79.485001,153598000,79.205299
2020/5/28,79.192497,80.860001,78.907501,79.5625,133560800,79.282524
2020/5/27,79.035004,79.677498,78.272499,79.527496,28211100,79.247643
2020/5/26,80.875,81.059998,79.125,79.182503,31380500,78.903862
2020/5/22,78.942497,79.807503,78.837502,79.722504,20450800,79.441963
2020/5/21,79.665001,80.222504,78.967499,79.212502,25672200,78.933754
2020/5/20,79.169998,79.879997,79.129997,79.807503,27876200,79.526665
2020/5/19,78.7575,79.629997,78.252502,78.285004,25432400,78.009521
2020/5/18,78.292503,79.125,77.580002,78.739998,33843100,78.462914
2020/5/15,75.087502,76.974998,75.052498,76.927498,41587100,76.656792
2020/5/14,76.127502,77.447502,75.3825,77.385002,39732300,77.112686
2020/5/13,78.037498,78.987503,75.802498,76.912498,50155600,76.641853
2020/5/12,79.457497,79.922501,77.727501,77.852501,40575300,77.578537
2020/5/11,77.025002,79.262497,76.809998,78.752502,36486600,78.475372
2020/5/8,76.410004,77.587502,76.072502,77.532501,33512000,77.259674
2020/5/7,75.805,76.292503,75.4925,75.934998,28803800,74.85067
2020/5/6,75.114998,75.809998,74.717499,75.157501,35583400,74.084282
2020/5/5,73.764999,75.25,73.614998,74.389999,36937800,73.327736
2020/5/4,72.292503,73.422501,71.580002,73.290001,33392000,72.243446
2020/5/1,71.5625,74.75,71.462502,72.267502,60154200,71.235542
2020/4/30,72.489998,73.6325,72.087502,73.449997,183064000,72.401154
2020/4/29,71.182503,72.417503,70.972504,71.932503,137280800,70.905334
2020/4/28,71.269997,71.457497,69.550003,69.644997,112004800,68.65049
2020/4/27,70.449997,71.135002,69.987503,70.792503,117087600,69.781609
2020/4/24,69.300003,70.752502,69.25,70.7425,126508800,69.732323
2020/4/23,68.967499,70.4375,68.717499,68.7575,124814400,67.775673
2020/4/22,68.402496,69.474998,68.050003,69.025002,117057200,68.039352
2020/4/21,69.07,69.3125,66.357498,67.092499,180991600,66.134438
2020/4/20,69.487503,70.419998,69.212502,69.232498,130015200,68.243881
2020/4/17,71.172501,71.737503,69.214996,70.699997,215250000,69.690422
2020/4/16,71.845001,72.050003,70.587502,71.672501,157125200,70.64904
2020/4/15,70.599998,71.582497,70.157501,71.107498,131154400,70.09211
2020/4/14,70,72.0625,69.512497,71.762497,194994800,70.737755
2020/4/13,67.077499,68.425003,66.457497,68.3125,131022800,67.337029
2020/4/9,67.175003,67.517502,66.175003,66.997498,162116400,66.040802
2020/4/8,65.684998,66.842499,65.307503,66.517502,168895200,65.567657
2020/4/7,67.699997,67.925003,64.75,64.857498,202887200,63.931355
2020/4/6,62.724998,65.777496,62.345001,65.6175,201820400,64.680504
2020/4/3,60.700001,61.424999,59.7425,60.352501,129880000,59.490692
2020/4/2,60.084999,61.287498,59.224998,61.232498,165934000,60.35812
